"municipio","valor","unidade","rotas_descritas","evidencia","confianca","erro"
"Agudo","vermelho","semáforo (verde/vermelho)","N/A","Mapeamento e identificação de riscos e indicação para mapear as principais rotas de fuga para situação de evacuação da população. (trecho: ""Mapear as principais rotas de fuga para situação de evacuação da população"") e lista de abrigos com endereços sem indicação de trajeto (ex.: ""LISTA DE ABRIGOS Identificação: Ginásio Municipal de Agudo Endereço: Avenida Tiradentes, 1625"")","alta",""
"Alto Alegre","vermelho","semáforo (verde/vermelho)","N/A","Não há descrito no documento um trajeto de evacuação com ruas/vias nomeadas ligando a área de risco a um ponto de encontro; o plano menciona ações gerais, listas de áreas de risco, 'retirar e encaminhar pessoas a casas de parentes e, se necessário, aos abrigos' e 'preparar route/signage planning for vulnerable areas', além de uma 'LISTA DE ABRIGOS' com endereço, mas não trajetos nomeados específicos.","alta",""
"Alto Feliz","vermelho","semáforo (verde/vermelho)","N/A","A evacuação ... sendo a evacuação das áreas afetadas sempre pelas principais ruas a serem definidas de acordo com a magnitude do evento adverso, devendo ter ruas de saída e ruas de entrada das equipes de Resgate.","alta",""
"Alvorada","vermelho","semáforo (verde/vermelho)","N/A","a evacuação das áreas afetadas sempre pelas principais ruas e avenidas a serem definidas de acordo com a magnitude do evento adverso","alta",""
"Amaral Ferrador","vermelho","semáforo (verde/vermelho)","N/A","não há descrição de trajeto de evacuação com ruas nomeadas; o documento cita apenas áreas de risco (ex.: ""Margens do Arroio Velhaco"", ""Estradas do interior do município"") e ações/genéricas (ex.: ""Reparos em estradas e pontes"", ""Abrigar e cadastrar os afetos"")","alta",""
"Anta Gorda","vermelho","semáforo (verde/vermelho)","N/A","Seção 4 (Áreas de Risco do Município): tabela com Local — ""Toda a área do município""; ações (5.1–5.5) incluem ""Acionar o plano"", ""Danos humanitários"", ""Danos públicos"" e ""Assistência"" — não há descrição de trajeto ou ruas nomeadas conectando áreas de risco a ponto de encontro.","alta",""
"Arambaré","verde","semáforo (verde/vermelho)","Distrito da Santa Rita do Sul: ""a. Estrada Costa Doce > Sede do Município.""; Bairro Cibislândia / Caramuru: mapa com rota anotada ""a. Estrada Mendes Ribeiro Filho / BR 116 / Município de Tapes""; Av. Cel. Nei Azambuja > Estrada Terra Dura > ERS 350 (rota exibida em mapa).","item “10.1. Distrito da Santa Rita do Sul: a. Estrada Costa Doce > Sede do Município.” [ref_id:1] | mapa rotas: ""a. Estrada Mendes Ribeiro Filho / BR 116 / Município de Tapes"" (Bairro Cibislândia / Caramuru) [ref_id:0] | mapa rotas: ""b. Av. Cel. Nei Azambuja > Estrada Terra Dura > ERS 350"" [ref_id:0]","alta",""
"Araricá","vermelho","semáforo (verde/vermelho)","N/A","LISTA DE ABRIGOS ... Abrigo I ... Endereço: Estrada Salão Queimado, nº240, Localidade Porto Palmeira/Imperatriz; Abrigo II ... Endereço: Av. José Antônio de Oliveira Neto, 248, Centro, Araricá; Abrigo III ... Endereço: R. Jacob Rech, 226 - Centro, Araricá - RS","alta",""
"Arroio Grande","vermelho","semáforo (verde/vermelho)","N/A","Seções do plano listam ""Áreas de Risco do Município"" com locais e ruas (ex.: Bairro Promorar, Av. Nossa Senhora da Graça, Av. Marcos Christ Filho, Rua Basílio Conceição, Rua Senador Salgado Filho) e inventário de recursos/estoque emergencial, mas não descrevem trajetos de evacuação específicos ligando áreas de risco a pontos de encontro com ruas nomeadas nem mapas de rotas","alta",""
"Arroio do Meio","verde","semáforo (verde/vermelho)","Rua Júlio de Castilhos até esquina das Ruas Bento Gonçalves e São José; Rua Gustavo Wienandts/Centro até pontos diversos; Rua Emílio F. Kaufmann (transposição) e Rua Marechal Floriano Peixoto (entroncamento com Emílio Francisco Kaufmann); Acesso à Rua Tiradentes pela Marechal Floriano Peixoto; Rua Maurício Cardoso (próx. Panifício Majolo) até Ponte do Bairro Aimoré; Rua Campos Sales (toda extensão) e travessias que ligam à Creche Atalaia; Rua Dr. João Carlos Machado (esquina com Oficina do Gerson) e Rua Visconde do Rio Branco (quadra da CNEC) — trajetos citados ligando áreas afetadas a pontos de passagem/saída da área de risco.","""Rua Júlio de Castilhos até esquina das Ruas Bento Gonçalves e São José""; ""Rua Gustavo Wienandts/Centro""; ""As águas represadas do Arroio do Meio/Maracangalha transpõem a Rua Emílio F. Kaufmann""; ""Acesso a Rua Tiradentes, pela Marechal Floriano Peixoto""; ""Acesso à Ponte do Bairro Aimoré""; ""Toda extensão da rua Campos Sales e AMAM""; ""Rua Dr. João Carlos Machado, esquina com a rua da Oficina do Gerson""; ""Rua Visconde do Rio Branco, na quadra da CNEC"" [ref_id:0][ref_id:6][ref_id:2][ref_id:14]","alta",""
"Arroio do Padre","vermelho","semáforo (verde/vermelho)","N/A","Índice mostra seção ""2.1.2 Rota de fuga"" sem conteúdo legível nas páginas recuperadas; páginas do PLANCON obtidas apresentam títulos, finalidade, instruções, atribuições e contatos, mas não descrevem trechos de trajeto com ruas nomeadas nem mapa de rotas específico para evacuação (ex.: páginas mostram ""2.1.4 Planejamento"", ""Ativação do Plano"", lista de instituições e contatos, e nota de que cenários incluem áreas de risco e ações, porém não há indicação de ruas nomeadas ou ponto de encontro descrito). [ref_id:0][ref_id:3][ref_id:9][ref_id:6][ref_id:5]","alta",""
"Arroio dos Ratos","vermelho","semáforo (verde/vermelho)","N/A","""a evacuação das áreas afetadas sempre pelas principais ruas e avenidas a serem definidas de acordo com a magnitude do evento adverso"" [ref_id:1]","alta",""
"Arvorezinha","vermelho","semáforo (verde/vermelho)","N/A","Áreas de Risco do Município: Diversos pontos no interior do município, como, Linha Quarta, Linha Quinta, Linha Forqueta, Linha São José e Linha Torres Gonçalves. (lista de abrigos com endereços: Ginásio Municipal, Esporte Clube São Luiz, Prefeitura Municipal, Salão Paroquial)","alta",""
"Barra do Ribeiro","vermelho","semáforo (verde/vermelho)","N/A","Não há indicação de trajeto de evacuação com ruas nomeadas; o documento traz ações gerais de resposta e responsabilidades (ex.: ""Acionar mecanismos do Plano de Contingência"", ""Disponibilizar veículos para transporte..."", ""Garantir restabelecimento de vias de acesso"") e campos de infraestrutura (endereços de prefeitura e local de doações), mas não descreve rota específica ligada por nomes de ruas até ponto de encontro","alta",""
"Barracão","vermelho","semáforo (verde/vermelho)","N/A","Não há descrição de trajeto de evacuação com ruas/vias nomeadas ligando área de risco a ponto de encontro; o documento apresenta apenas lista de abrigos com endereços (ex.: ""Ginásio da Escola Constantino Machado Pereira ... Endereço: RUA VITÓRIO TREVISAN, 484, OPERÁRIO"") e orientações genéricas de resposta (ex.: ""Dispor de veículos para o transporte de recursos humanos e materiais para socorrer às vítimas."") [ref_id:9][ref_id:7]","alta",""
